work_year,job_title,job_category,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2022,Data Engineer  (Remote),Data Science,INR,75311,160759,UK,MI,PT,Hybrid,UK,M
2022,Machine Learning Engineer  in office,ML/AI,JPY,125381,102024,US,EN,FT,In-person,CN,L
2020,Data Scientist  ,Engineering,JPY,54967,185613,JP,EX,FL,Hybrid,CN,S
2020,Data Engineer  (Remote),Analysis,EUR,58478,154001,IN,EX,FL,Hybrid,UK,M
2021,Data Scientist  ,Analysis,INR,70332,182875,JP,EX,CT,Remote,US,S
2021,Data Engineer  (Remote),ML/AI,us dolars,168138,73183,UK,SE,FL,Remote,UK,S
2020,Data Analyst  ,Data Science,JPY,69313,92323,DE,MI,FT,In-person,MX,M
2021,Data Analyst  (Remote),Analysis,GBP,97857,153978,DE,EN,PT,Remote,DE,M
2020,Data Analyst  (Remote),ML/AI,INR,75900,120254,DE,EX,FT,In-person,UK,S
2021,Data Scientist  in office,,,156861,172242,CN,,CT,Remote,DE,
2020,Statistician  (Remote),Engineering,GBP,71098,77284,JP,EX,FL,Remote,IN,S
2020,Data Engineer  in office,Analysis,JPY,38294,170332,IN,SE,FT,In-person,UK,L
2020,Data Analyst  (Remote),Data Science,GBP,199173,168708,MX,EN,FT,Hybrid,IN,L
2021,Data Engineer  ,,,186131,132491,MX,,FL,In-person,JP,
2021,Data Scientist  ,Analysis,us dolars,126784,66108,IN,EX,PT,In-person,MX,L
2021,Statistician  in office,Engineering,us dolars,70626,45941,MX,SE,PT,In-person,CN,S
2020,Data Scientist  (Remote),Data Science,JPY,50703,189427,CN,SE,PT,Remote,UK,S
2021,Data Engineer  in office,ML/AI,GBP,133693,102836,US,MI,FL,Remote,IN,M
2021,Statistician  ,Analysis,INR,164277,117719,CN,MI,FT,Remote,JP,S
2020,Statistician  (Remote),ML/AI,INR,196001,194805,IN,EN,CT,In-person,DE,M
2022,Data Scientist  in office,Data Science,INR,194483,37444,IN,MI,FT,Hybrid,DE,M
2020,Data Analyst  ,Data Science,EUR,41628,121291,US,EN,FL,Hybrid,CN,S
2021,Data Engineer  ,Engineering,EUR,133655,118598,JP,MI,FL,In-person,CN,L
2020,Machine Learning Engineer  (Remote),Data Science,INR,36518,175682,JP,EX,FT,In-person,MX,S
2022,Machine Learning Engineer  (Remote),Analysis,JPY,199563,96036,UK,MI,FL,Hybrid,MX,S
2020,Data Scientist  (Remote),ML/AI,EUR,169018,34554,JP,EX,FT,Remote,DE,L
2021,Data Engineer  in office,Data Science,EUR,30610,55545,DE,EN,FT,In-person,DE,M
2022,Data Engineer  in office,Data Science,us dolars,64311,160745,DE,MI,PT,Hybrid,DE,L
2021,Data Scientist  (Remote),Analysis,us dolars,156419,91971,UK,MI,FL,Hybrid,US,S
2022,Data Engineer  (Remote),ML/AI,JPY,71876,76059,IN,MI,FL,Hybrid,MX,S
2022,Data Analyst  (Remote),ML/AI,EUR,80333,167843,UK,EX,PT,Remote,CN,L
2020,Data Scientist  ,,,-114192,99468,US,,PT,Hybrid,IN,
2020,Data Analyst  (Remote),Engineering,GBP,71811,56055,UK,MI,PT,Hybrid,JP,L
2021,Data Engineer  in office,ML/AI,JPY,100072,198274,UK,EN,CT,Hybrid,JP,M
2020,Data Scientist  ,Analysis,JPY,145407,188772,CN,EX,FL,In-person,UK,L
2020,Data Engineer  (Remote),,,-72974,33567,DE,,FT,In-person,IN,
2022,Data Scientist  in office,Engineering,GBP,180928,56627,US,EN,FT,In-person,CN,L
2020,Data Engineer  ,Data Science,us dolars,111983,199640,CN,EN,FT,Hybrid,US,S
2022,Data Analyst  ,Analysis,JPY,75823,181832,US,EN,FL,Hybrid,US,M
2022,Data Analyst  in office,Data Science,JPY,128863,191057,UK,EX,CT,Remote,IN,M
2022,Data Engineer  in office,Analysis,GBP,130037,109944,CN,MI,FL,Hybrid,DE,L
2021,Data Scientist  ,ML/AI,INR,97078,125368,CN,MI,FL,Remote,DE,S
2021,Machine Learning Engineer  in office,Engineering,INR,137767,70785,US,SE,FL,Hybrid,IN,M
2021,Data Analyst  ,Data Science,us dolars,97951,196655,US,MI,FL,Remote,CN,L
2022,Data Analyst  ,Data Science,INR,139287,194810,JP,SE,FL,In-person,JP,M
2021,Machine Learning Engineer  ,ML/AI,INR,173977,54204,MX,SE,CT,Hybrid,DE,L
2021,Data Engineer  ,,,-51601,46643,US,,PT,Remote,UK,
2020,Data Scientist  (Remote),Data Science,EUR,133691,100561,CN,SE,FT,In-person,CN,L
2021,Data Engineer  in office,Analysis,us dolars,78435,67126,IN,EN,FL,In-person,CN,S
2021,Statistician  (Remote),ML/AI,GBP,185116,88126,US,EN,FL,Hybrid,US,M
2022,Data Analyst  (Remote),Engineering,INR,41246,112424,DE,EN,FL,Remote,MX,S
2022,Statistician  (Remote),,,-32458,154453,JP,,FT,Remote,DE,
2022,Data Analyst  (Remote),Analysis,INR,36028,75258,DE,SE,CT,Remote,JP,M
2022,Data Analyst  ,Data Science,EUR,149247,64527,MX,SE,FT,In-person,CN,S
2022,Statistician  ,Analysis,us dolars,81901,53898,DE,EN,CT,Remote,DE,S
2022,Statistician  ,Analysis,INR,167378,33794,IN,EX,PT,In-person,DE,L
2021,Data Engineer  ,Analysis,EUR,136555,175770,JP,MI,FL,Remote,US,S
2022,Statistician  (Remote),ML/AI,JPY,57678,173404,MX,EN,CT,In-person,UK,L
2022,Data Engineer  ,Engineering,JPY,120444,39593,UK,EX,FT,Hybrid,CN,S
2020,Data Engineer  (Remote),Data Science,EUR,42363,88132,CN,MI,CT,In-person,MX,M
2021,Data Engineer  ,Engineering,INR,175138,150973,CN,EX,CT,Remote,UK,S
2021,Data Analyst  in office,Analysis,INR,93804,131633,US,MI,PT,In-person,JP,S
2021,Data Analyst  in office,Analysis,us dolars,144433,41036,CN,SE,FL,Remote,MX,S
2022,Statistician  in office,Engineering,us dolars,78544,124097,IN,SE,FL,Hybrid,IN,L
2022,Data Analyst  in office,Engineering,GBP,128247,83164,CN,EX,FT,In-person,IN,M
2022,Statistician  ,Data Science,us dolars,30189,180423,IN,EX,FT,Hybrid,MX,M
2020,Data Analyst  in office,Analysis,INR,41752,88413,UK,MI,PT,In-person,IN,S
2022,Data Scientist  in office,Engineering,GBP,37482,48059,IN,EX,CT,In-person,JP,S
2020,Data Scientist  (Remote),ML/AI,us dolars,46679,57188,UK,EX,CT,Hybrid,CN,L
2021,Statistician  in office,,,153056,128591,UK,,FT,Hybrid,DE,
2022,Data Analyst  ,Analysis,JPY,30799,111795,UK,MI,FL,In-person,UK,S
2020,Data Analyst  (Remote),Data Science,us dolars,151691,41829,IN,SE,CT,In-person,UK,S
2020,Data Engineer  ,ML/AI,us dolars,171006,103673,MX,EN,PT,In-person,DE,M
2022,Machine Learning Engineer  (Remote),Data Science,EUR,87558,54502,UK,EX,FT,Hybrid,CN,S
2021,Statistician  ,ML/AI,INR,89223,188276,MX,MI,CT,Remote,MX,S
2021,Machine Learning Engineer  in office,Data Science,EUR,71556,31265,IN,SE,FL,Hybrid,UK,M
2021,Machine Learning Engineer  (Remote),ML/AI,us dolars,170981,196823,JP,EN,FL,In-person,CN,L
2020,Statistician  in office,ML/AI,INR,121467,185387,UK,EX,PT,In-person,MX,S
2020,Data Analyst  ,ML/AI,GBP,140719,77457,IN,SE,PT,Hybrid,MX,S
2020,Statistician  ,Engineering,us dolars,121404,76875,IN,EN,FT,In-person,MX,M
2020,Machine Learning Engineer  (Remote),Analysis,EUR,73558,90359,MX,EX,FT,In-person,UK,M
2021,Data Analyst  ,ML/AI,GBP,189085,136334,IN,SE,FL,In-person,IN,L
2022,Data Scientist  ,Engineering,JPY,133018,152950,US,EX,FL,In-person,IN,L
2020,Statistician  (Remote),Engineering,GBP,183947,194451,MX,EN,CT,In-person,US,S
2020,Statistician  in office,,,-41408,94102,MX,,CT,Remote,US,
2021,Data Analyst  (Remote),Analysis,GBP,65607,131827,US,SE,CT,Hybrid,UK,L
2022,Data Scientist  ,Analysis,EUR,91684,122688,UK,EN,PT,Hybrid,IN,L
2022,Data Scientist  ,Data Science,us dolars,197353,89469,CN,EX,PT,Hybrid,CN,S
2021,Data Analyst  (Remote),Analysis,INR,57326,125789,JP,EN,CT,Remote,US,L
2021,Data Engineer  (Remote),,,-43601,195468,CN,,FL,Remote,US,
2022,Statistician  in office,Engineering,INR,154594,43176,UK,MI,FT,Hybrid,IN,L
2020,Statistician  ,Engineering,INR,31135,95036,DE,SE,PT,Hybrid,CN,M
2022,Machine Learning Engineer  ,ML/AI,INR,183813,37907,DE,EN,PT,Hybrid,US,L
2021,Data Analyst  in office,Data Science,EUR,41913,33372,JP,MI,CT,In-person,DE,L
2020,Machine Learning Engineer  (Remote),Engineering,EUR,40101,188644,MX,MI,FT,Remote,MX,M
2020,Machine Learning Engineer  (Remote),Engineering,JPY,179703,54592,JP,MI,PT,Remote,CN,M
2021,Data Scientist  in office,Data Science,EUR,132820,174174,JP,EX,FT,In-person,DE,S
2021,Statistician  (Remote),,,197942,138093,US,,PT,Remote,IN,
2021,Machine Learning Engineer  in office,Analysis,EUR,188287,186714,US,MI,FT,Hybrid,IN,M
2022,Data Scientist  (Remote),Engineering,EUR,92110,33139,DE,MI,FT,Remote,US,S
2022,Data Analyst  (Remote),Data Science,us dolars,49215,107179,JP,MI,PT,In-person,UK,L
2020,Machine Learning Engineer  (Remote),Analysis,JPY,175096,48643,IN,SE,FT,Hybrid,JP,S
2021,Statistician  in office,Analysis,EUR,106949,134425,CN,SE,FL,Remote,DE,L
2020,Machine Learning Engineer  in office,Engineering,JPY,111855,90117,DE,MI,PT,Hybrid,DE,L
2020,Data Analyst  in office,ML/AI,GBP,136279,189852,JP,EN,PT,Remote,CN,L
2020,Machine Learning Engineer  ,Analysis,us dolars,171583,136485,IN,EX,FL,Hybrid,CN,M
2020,Statistician  ,Data Science,EUR,151898,143607,JP,EN,FT,In-person,IN,S
2021,Data Scientist  in office,ML/AI,us dolars,180995,90332,MX,EN,FL,In-person,MX,S
2020,Statistician  ,ML/AI,us dolars,171630,60632,UK,MI,PT,Remote,UK,M
2021,Data Scientist  ,Analysis,GBP,30526,199565,IN,EN,FL,Remote,IN,M
2021,Data Engineer  (Remote),Engineering,JPY,31753,190480,MX,SE,FT,Hybrid,US,S
2022,Statistician  (Remote),ML/AI,us dolars,187320,117157,CN,SE,FL,In-person,UK,M
2021,Statistician  (Remote),Engineering,INR,44656,187011,UK,EX,PT,Hybrid,US,M
2022,Data Analyst  ,Analysis,GBP,53266,66843,MX,SE,FT,In-person,DE,L
2021,Machine Learning Engineer  ,,,94555,68930,US,,PT,Hybrid,IN,
2021,Data Scientist  in office,ML/AI,GBP,92995,190942,DE,MI,PT,Hybrid,CN,L
2021,Data Scientist  ,Data Science,INR,108277,135940,JP,SE,CT,Hybrid,IN,M
2022,Data Analyst  ,Engineering,INR,132345,88103,DE,EN,PT,Remote,JP,M
2022,Data Analyst  in office,Engineering,us dolars,126111,70770,CN,EN,PT,In-person,UK,L
2020,Machine Learning Engineer  in office,,,-95402,141757,JP,,FT,Remote,MX,
2022,Machine Learning Engineer  in office,Analysis,GBP,153747,60158,UK,EX,FT,Remote,DE,S
2022,Statistician  (Remote),,,-44418,118992,IN,,FT,Hybrid,JP,
2022,Data Engineer  in office,ML/AI,us dolars,67185,77401,IN,EX,FL,In-person,JP,L
2022,Machine Learning Engineer  (Remote),ML/AI,us dolars,71745,174064,JP,SE,FL,Remote,IN,S
2020,Data Analyst  ,Analysis,EUR,110123,186462,UK,EX,FT,Hybrid,UK,S
2022,Machine Learning Engineer  ,Analysis,us dolars,117804,75858,JP,SE,FL,In-person,IN,S
2021,Data Scientist  (Remote),Data Science,JPY,198425,177828,JP,EN,CT,In-person,UK,S
2021,Data Engineer  (Remote),Engineering,EUR,141055,183043,MX,EX,FL,Remote,JP,M
2022,Statistician  (Remote),Engineering,INR,149097,168143,JP,EX,CT,Hybrid,US,S
2022,Data Scientist  ,ML/AI,INR,78302,114811,IN,EX,FT,Remote,DE,S
2021,Data Scientist  ,Analysis,EUR,152561,159970,CN,EN,FT,In-person,JP,M
2021,Data Engineer  in office,Data Science,EUR,183507,36586,JP,SE,FL,Remote,IN,S
2020,Statistician  in office,ML/AI,EUR,87728,49703,IN,EN,FT,Hybrid,MX,S
2021,Data Analyst  ,Data Science,GBP,128598,106177,US,EN,FT,In-person,MX,S
2021,Statistician  in office,Analysis,JPY,31238,66735,UK,MI,PT,Hybrid,DE,M
2022,Machine Learning Engineer  in office,Analysis,JPY,111610,128525,US,EX,FT,Hybrid,JP,L
2021,Data Scientist  (Remote),Analysis,INR,174121,69648,JP,SE,PT,In-person,UK,S
2020,Machine Learning Engineer  ,Engineering,INR,87193,173201,IN,SE,FT,Hybrid,MX,S
2021,Data Analyst  (Remote),Analysis,INR,196656,66656,UK,MI,CT,Hybrid,IN,S
2022,Machine Learning Engineer  ,ML/AI,us dolars,96634,190737,DE,MI,CT,Hybrid,MX,S
2022,Statistician  ,,,-44679,174571,UK,,FT,In-person,JP,
2021,Machine Learning Engineer  (Remote),Data Science,EUR,64505,105888,UK,MI,CT,Hybrid,UK,L
2022,Data Analyst  ,ML/AI,INR,81341,49654,JP,SE,CT,Remote,UK,S
2020,Data Analyst  (Remote),ML/AI,EUR,80374,160117,MX,SE,CT,Remote,UK,S
2020,Data Analyst  (Remote),Data Science,GBP,76998,116613,US,SE,FL,Hybrid,MX,M
2021,Statistician  ,Engineering,us dolars,157203,48982,US,EN,CT,Remote,DE,L
2021,Data Analyst  ,ML/AI,us dolars,63178,129970,DE,EX,PT,Remote,IN,L
2021,Data Scientist  (Remote),ML/AI,JPY,188647,111848,JP,EX,FL,In-person,UK,L
2022,Data Analyst  in office,ML/AI,GBP,180401,139577,UK,EN,PT,Hybrid,JP,S
2020,Machine Learning Engineer  in office,,,137373,109874,MX,,PT,In-person,UK,
2020,Machine Learning Engineer  ,Engineering,GBP,134139,60173,CN,SE,PT,Hybrid,IN,S
2022,Machine Learning Engineer  ,Engineering,us dolars,130290,156765,US,EN,FL,Remote,CN,M
2020,Statistician  in office,ML/AI,EUR,88951,67525,US,EN,FT,In-person,CN,M
2021,Machine Learning Engineer  ,Analysis,GBP,117629,57328,IN,MI,CT,In-person,DE,M
2021,Statistician  ,Data Science,us dolars,196243,172432,UK,EN,CT,Remote,UK,S
2021,Statistician  in office,Analysis,EUR,169334,146242,JP,EX,FT,Remote,JP,S
2020,Data Analyst  ,Engineering,EUR,181857,134419,US,EN,FT,Hybrid,IN,S
2021,Data Scientist  in office,ML/AI,us dolars,98831,52625,MX,SE,PT,Hybrid,MX,L
2022,Data Analyst  in office,ML/AI,EUR,111223,137576,JP,SE,FL,Remote,UK,M
2022,Data Analyst  in office,Analysis,us dolars,75643,46471,UK,SE,PT,Remote,MX,M
2020,Statistician  ,Analysis,INR,33582,69883,UK,EX,CT,In-person,DE,L
2022,Statistician  (Remote),Data Science,INR,142781,32703,US,EX,FT,In-person,US,L
2022,Machine Learning Engineer  (Remote),ML/AI,EUR,191352,95524,DE,MI,CT,Hybrid,CN,L
2020,Machine Learning Engineer  (Remote),Analysis,EUR,134004,195587,JP,EN,FT,In-person,JP,S
2021,Data Analyst  ,Data Science,us dolars,70000,45151,JP,MI,FL,Remote,CN,L
2021,Data Engineer  ,Engineering,EUR,132592,79190,IN,EN,PT,Remote,UK,S
2021,Data Engineer  ,Analysis,JPY,31085,86195,MX,EN,CT,Remote,UK,S
2020,Machine Learning Engineer  ,Engineering,INR,176672,156559,UK,EX,FL,Remote,US,M
2022,Data Engineer  (Remote),Data Science,EUR,127994,94108,UK,SE,CT,Hybrid,IN,L
2021,Machine Learning Engineer  in office,Engineering,EUR,147309,179607,US,EN,FT,Remote,MX,S
2021,Statistician  ,ML/AI,GBP,137114,132241,US,EX,CT,Remote,MX,S
2020,Data Analyst  ,ML/AI,EUR,100410,135190,US,MI,FL,Remote,MX,L
2021,Data Scientist  ,,,-56825,73050,IN,,FL,Remote,US,
2020,Data Analyst  in office,ML/AI,INR,171985,62976,MX,MI,PT,Hybrid,MX,S
2022,Machine Learning Engineer  (Remote),Data Science,GBP,114269,30599,DE,MI,CT,Hybrid,IN,S
2020,Machine Learning Engineer  ,,,-44332,89867,US,,FT,In-person,UK,
2020,Data Analyst  (Remote),Engineering,us dolars,84895,33709,US,SE,CT,Hybrid,US,S
2020,Machine Learning Engineer  ,,,-165504,185182,CN,,PT,Hybrid,CN,
2020,Data Engineer  (Remote),Engineering,us dolars,187642,79365,MX,MI,FT,Hybrid,MX,L
2022,Data Engineer  ,Analysis,JPY,167175,35723,US,EN,FT,In-person,CN,M
2022,Machine Learning Engineer  (Remote),Engineering,EUR,152046,142308,IN,SE,PT,Remote,MX,M
2021,Machine Learning Engineer  ,Data Science,INR,176972,188466,JP,EX,FT,In-person,UK,M
2022,Data Engineer  ,ML/AI,GBP,97567,94120,DE,EX,FL,Remote,US,S
2022,Machine Learning Engineer  (Remote),ML/AI,EUR,92713,40316,JP,EX,FL,Hybrid,UK,S
2021,Machine Learning Engineer  (Remote),Analysis,us dolars,88639,183694,CN,EN,FT,Remote,CN,M
2022,Data Analyst  in office,Analysis,us dolars,170060,185916,UK,EN,CT,In-person,CN,M
2020,Data Scientist  in office,Data Science,GBP,133603,136276,UK,SE,FT,Remote,UK,L
2020,Data Engineer  in office,Engineering,JPY,108488,51162,US,EN,CT,Remote,MX,M
2021,Data Analyst  in office,Analysis,GBP,122905,58833,CN,EX,PT,Hybrid,UK,S
2021,Data Scientist  (Remote),ML/AI,INR,32977,178278,JP,MI,FL,Remote,DE,M
2021,Machine Learning Engineer  in office,Analysis,GBP,145650,156515,IN,MI,FL,Remote,US,M
2020,Machine Learning Engineer  ,Analysis,us dolars,84641,150788,DE,MI,PT,Hybrid,DE,L
2022,Data Analyst  (Remote),Engineering,JPY,162340,81747,MX,EX,PT,In-person,UK,M
2020,Machine Learning Engineer  ,,,-144465,120037,JP,,FL,Hybrid,JP,
2021,Statistician  in office,,,84431,143850,CN,,PT,Remote,CN,
2022,Data Analyst  in office,ML/AI,INR,46756,148641,CN,EN,FT,Hybrid,IN,M
2022,Data Scientist  in office,Engineering,us dolars,181836,148519,MX,EN,FT,Hybrid,US,M
2020,Data Analyst  (Remote),ML/AI,EUR,176104,149271,JP,EX,CT,Remote,US,S
2021,Data Engineer  ,Data Science,JPY,172957,85387,DE,EN,CT,In-person,CN,S
2020,Data Analyst  ,Data Science,GBP,39796,55226,JP,EN,CT,Hybrid,IN,L
2022,Machine Learning Engineer  (Remote),Analysis,INR,134583,136287,JP,EX,FT,In-person,DE,L
2020,Machine Learning Engineer  in office,Analysis,INR,193935,167572,DE,SE,FL,Hybrid,IN,S
2020,Statistician  in office,Analysis,us dolars,111014,31634,IN,MI,CT,Remote,JP,L
2021,Statistician  (Remote),ML/AI,JPY,193189,175131,MX,MI,FT,Remote,UK,S
2021,Statistician  ,,,-181825,145855,CN,,FL,Hybrid,IN,
2022,Data Scientist  ,Engineering,EUR,50325,34076,DE,SE,PT,Hybrid,MX,S
2020,Statistician  ,Analysis,EUR,168093,136694,US,EX,FT,Hybrid,IN,S
2020,Data Scientist  ,ML/AI,EUR,83096,68210,US,EN,PT,Remote,UK,L
2020,Statistician  in office,Analysis,INR,174143,158798,US,EX,CT,Hybrid,CN,L
2022,Data Scientist  in office,Data Science,JPY,94649,187003,US,MI,FL,Remote,US,L
2022,Data Analyst  (Remote),,,-38041,62007,MX,,FT,Hybrid,CN,
2021,Data Analyst  (Remote),Data Science,us dolars,70058,183816,UK,MI,CT,Remote,MX,M
2021,Machine Learning Engineer  (Remote),ML/AI,EUR,78263,191468,IN,EX,CT,Hybrid,JP,L
2021,Data Scientist  in office,Analysis,JPY,134820,118619,UK,EX,FL,In-person,CN,L
2020,Data Engineer  in office,Data Science,JPY,137645,152315,JP,SE,PT,In-person,IN,L
2020,Machine Learning Engineer  in office,ML/AI,GBP,58223,96038,JP,EX,CT,Remote,IN,L
2021,Data Analyst  (Remote),,,-63575,173828,DE,,FL,Hybrid,US,
2020,Data Scientist  in office,Engineering,JPY,51661,171677,US,SE,FL,In-person,JP,M
2021,Statistician  ,Data Science,us dolars,66432,183488,DE,EN,FT,Hybrid,UK,L
2022,Data Engineer  in office,Analysis,JPY,192219,86558,JP,EX,CT,Hybrid,UK,M
2021,Data Analyst  ,Analysis,JPY,59114,198559,US,EX,PT,Hybrid,DE,M
2022,Machine Learning Engineer  ,Analysis,us dolars,36030,136052,MX,SE,PT,In-person,JP,S
2020,Data Scientist  ,Analysis,JPY,120051,123079,CN,MI,CT,Remote,JP,L
2021,Data Engineer  in office,,,-77743,126816,IN,,PT,In-person,IN,
2020,Data Scientist  (Remote),Analysis,GBP,155756,163942,JP,MI,FL,Remote,DE,S
2022,Statistician  ,ML/AI,INR,95615,157942,CN,MI,FL,In-person,UK,L
2022,Machine Learning Engineer  ,Data Science,us dolars,77577,165830,DE,EX,CT,Hybrid,MX,L
2022,Data Scientist  in office,Analysis,us dolars,140436,141342,CN,EN,PT,Hybrid,JP,M
2020,Data Analyst  in office,Data Science,JPY,32966,199808,DE,SE,FL,Hybrid,JP,S
2020,Machine Learning Engineer  ,ML/AI,us dolars,159356,95138,JP,SE,CT,In-person,US,S
2020,Data Analyst  (Remote),ML/AI,EUR,143838,80250,UK,EX,FL,In-person,UK,S
2020,Data Scientist  in office,Data Science,EUR,33728,147857,MX,EX,CT,Remote,US,S
2022,Machine Learning Engineer  ,Analysis,GBP,198376,145070,MX,SE,FT,In-person,DE,L
2022,Data Analyst  (Remote),Analysis,us dolars,162019,70558,IN,SE,FT,Remote,JP,M
2021,Statistician  in office,ML/AI,JPY,111380,83092,MX,EN,CT,In-person,DE,M
2021,Statistician  (Remote),Analysis,JPY,96130,105121,CN,EX,FT,Hybrid,CN,S
2020,Data Scientist  ,ML/AI,INR,51414,152140,MX,EN,FT,In-person,US,S
2022,Machine Learning Engineer  (Remote),,,-123005,160877,CN,,PT,Hybrid,UK,
2022,Data Engineer  ,ML/AI,JPY,180511,85604,JP,EX,FT,In-person,JP,M
2022,Machine Learning Engineer  in office,Engineering,INR,121742,67039,MX,EN,PT,Remote,CN,L
2021,Statistician  ,Analysis,JPY,66973,99859,JP,MI,FT,In-person,CN,L
2021,Data Analyst  ,Analysis,INR,117091,122506,MX,MI,FT,Hybrid,UK,S
2022,Data Engineer  in office,Analysis,EUR,167161,130342,DE,MI,FL,In-person,DE,L
2022,Data Scientist  ,Data Science,EUR,92235,35461,US,EX,CT,Remote,CN,L
2022,Data Engineer  (Remote),Analysis,JPY,59400,70831,US,EN,FT,Remote,IN,M
2021,Data Scientist  in office,Data Science,GBP,176477,81137,US,MI,CT,Remote,UK,S
2022,Data Engineer  (Remote),Data Science,us dolars,147240,64030,DE,SE,CT,Remote,CN,L
2022,Data Scientist  in office,ML/AI,GBP,82763,166803,US,MI,FL,In-person,UK,S
2020,Data Scientist  ,,,-191281,51500,JP,,CT,Remote,UK,
2020,Data Engineer  (Remote),Data Science,us dolars,178496,63117,UK,EX,CT,In-person,JP,L
2021,Data Engineer  in office,Engineering,EUR,136810,124138,UK,EN,FT,In-person,DE,M
2022,Data Scientist  (Remote),Analysis,EUR,119523,192246,MX,EX,FL,In-person,DE,L
2022,Statistician  in office,Data Science,us dolars,139955,63208,UK,EN,CT,Remote,JP,M
2020,Data Engineer  in office,Analysis,INR,181628,114728,US,EN,FT,Remote,UK,L
2021,Machine Learning Engineer  (Remote),Data Science,GBP,123137,114482,UK,SE,FL,In-person,UK,S
2020,Data Analyst  (Remote),ML/AI,JPY,180402,55960,CN,MI,FT,In-person,IN,M
2020,Data Scientist  (Remote),Engineering,EUR,164308,171319,US,MI,FL,In-person,CN,M
2020,Data Scientist  (Remote),Data Science,JPY,60312,126342,CN,EN,FL,Hybrid,UK,S
2020,Data Analyst  in office,Analysis,us dolars,143687,137918,JP,MI,PT,Hybrid,CN,L
2022,Statistician  (Remote),ML/AI,JPY,182263,144761,CN,SE,PT,Remote,US,M
2022,Data Analyst  (Remote),Analysis,JPY,139602,56038,JP,EN,PT,Hybrid,CN,L
2020,Data Engineer  (Remote),ML/AI,GBP,66640,188842,DE,MI,CT,In-person,UK,L
2021,Data Analyst  (Remote),Engineering,us dolars,130171,152232,DE,MI,FT,In-person,IN,L
2021,Data Scientist  (Remote),ML/AI,JPY,92293,102485,MX,EX,FL,Remote,US,S
2021,Data Analyst  (Remote),,,-144124,87773,CN,,FT,Remote,IN,
2021,Machine Learning Engineer  ,Analysis,us dolars,197760,113391,IN,MI,CT,Hybrid,CN,S
2020,Data Engineer  ,Data Science,EUR,115802,82633,JP,EX,PT,In-person,IN,M
2022,Data Analyst  in office,ML/AI,INR,122024,152226,US,EN,PT,Remote,CN,L
2021,Data Scientist  (Remote),Analysis,JPY,185194,180636,IN,EN,FT,Remote,DE,M
2020,Data Engineer  (Remote),Data Science,us dolars,167403,179186,JP,SE,FT,Hybrid,CN,L
2021,Data Scientist  in office,Engineering,EUR,141411,62803,US,EX,FL,Remote,JP,M
2021,Statistician  (Remote),Analysis,JPY,72262,145708,JP,EN,FT,Hybrid,IN,S
2020,Machine Learning Engineer  (Remote),Data Science,GBP,146214,159997,JP,MI,FL,In-person,UK,M
2022,Statistician  (Remote),Analysis,EUR,136435,133838,US,MI,FL,Hybrid,DE,M
2022,Machine Learning Engineer  ,ML/AI,EUR,116314,53545,JP,MI,PT,Remote,MX,L
2020,Data Analyst  (Remote),Data Science,INR,194998,92759,JP,SE,FT,Hybrid,US,L
2022,Data Engineer  ,ML/AI,GBP,116287,136313,JP,EN,PT,Hybrid,CN,L
2020,Data Analyst  (Remote),Engineering,INR,149318,106488,MX,EX,FL,In-person,JP,L
2020,Machine Learning Engineer  (Remote),ML/AI,GBP,160134,147805,DE,EN,PT,Hybrid,DE,S
2020,Machine Learning Engineer  in office,Data Science,EUR,154958,83866,UK,EX,PT,Remote,IN,M
2022,Machine Learning Engineer  in office,Analysis,INR,47528,157145,JP,EX,FL,Remote,MX,M
2020,Data Scientist  (Remote),Data Science,JPY,30068,100499,MX,EN,CT,In-person,MX,S
2021,Data Engineer  (Remote),ML/AI,GBP,99253,108243,US,MI,CT,In-person,DE,M
2022,Data Analyst  (Remote),ML/AI,EUR,110754,150779,CN,MI,FT,In-person,UK,L
2022,Data Analyst  ,Analysis,us dolars,120938,173932,JP,EX,PT,Remote,UK,L
2022,Statistician  (Remote),Engineering,GBP,72129,112946,MX,MI,FT,Hybrid,UK,L
2022,Machine Learning Engineer  in office,Data Science,GBP,143996,148353,DE,SE,PT,Remote,JP,M
2021,Machine Learning Engineer  ,Analysis,JPY,91321,47670,MX,SE,FT,Remote,MX,S
2022,Machine Learning Engineer  (Remote),Analysis,GBP,41526,114766,DE,EX,FT,In-person,DE,S
2022,Data Analyst  ,Analysis,GBP,187781,119694,CN,MI,FL,In-person,DE,M
2020,Statistician  ,,,137535,196133,JP,,CT,Hybrid,MX,
2022,Data Scientist  ,Data Science,JPY,45063,80764,IN,SE,CT,Hybrid,IN,S
2021,Data Engineer  ,Data Science,INR,165795,145164,CN,SE,CT,Hybrid,US,L
2021,Data Scientist  (Remote),Engineering,EUR,34213,53810,UK,SE,FL,Hybrid,UK,M
2021,Data Analyst  in office,Analysis,EUR,52797,139660,US,EN,CT,Remote,US,S
2021,Machine Learning Engineer  ,,,114946,120894,MX,,FL,Hybrid,MX,
2022,Data Engineer  in office,ML/AI,EUR,118918,45933,US,MI,PT,Remote,MX,L
2022,Data Analyst  ,Analysis,GBP,53655,191106,US,EN,FL,Remote,US,L
2021,Data Analyst  in office,ML/AI,INR,173659,31947,US,SE,FT,Hybrid,UK,S
